Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
29/07/2008,#N/A N/A,#N/A N/A,#N/A N/A,2875.933
30/07/2008,#N/A N/A,#N/A N/A,#N/A N/A,2925.266
31/07/2008,#N/A N/A,#N/A N/A,#N/A N/A,2886.611
01/08/2008,#N/A N/A,#N/A N/A,#N/A N/A,2870.601
04/08/2008,#N/A N/A,#N/A N/A,#N/A N/A,2841.231
05/08/2008,#N/A N/A,#N/A N/A,#N/A N/A,2919.773
06/08/2008,#N/A N/A,#N/A N/A,#N/A N/A,2932.834
07/08/2008,#N/A N/A,#N/A N/A,#N/A N/A,2882.134
08/08/2008,#N/A N/A,#N/A N/A,#N/A N/A,2947.65
11/08/2008,#N/A N/A,#N/A N/A,#N/A N/A,2968.262
12/08/2008,#N/A N/A,#N/A N/A,#N/A N/A,2934.008
13/08/2008,#N/A N/A,#N/A N/A,#N/A N/A,2929.021
14/08/2008,#N/A N/A,#N/A N/A,#N/A N/A,2945.257
15/08/2008,#N/A N/A,#N/A N/A,#N/A N/A,2956.044
18/08/2008,#N/A N/A,#N/A N/A,#N/A N/A,2912.028
19/08/2008,#N/A N/A,#N/A N/A,#N/A N/A,2886.095
20/08/2008,#N/A N/A,#N/A N/A,#N/A N/A,2904.4
21/08/2008,#N/A N/A,#N/A N/A,#N/A N/A,2911.824
22/08/2008,#N/A N/A,#N/A N/A,#N/A N/A,2943.737
